,Name Of The Movie,Year Of Release,IMDB Rating,Metascore,Number Of Votes,IMDB Rating Scaled to 100
2001,Love & Other Drugs,2010,6.7,55,176948,67.0
2002,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,174118,59.0
2003,Get Him to the Greek,2010,6.4,65,167975,64.0
2004,Tucker and Dale vs Evil,2010,7.5,65,162353,75.0
2005,Hot Tub Time Machine,2010,6.4,63,159943,64.0
2006,Resident Evil: Afterlife,2010,5.8,37,159788,58.0
2007,The Karate Kid,2010,6.2,61,157404,62.0
2008,The Ghost Writer,2010,7.2,77,154271,72.0
2009,The Sorcerer's Apprentice,2010,6.1,46,150785,61.0
2010,Date Night,2010,6.3,56,150381,63.0
2011,The Last Airbender,2010,4.0,20,149556,40.0
2012,Buried,2010,7.0,65,147232,70.0
2013,Incendies,2010,8.3,80,142361,83.0
2014,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53,138376,63.0
2015,Dear John,2010,6.3,43,136198,63.0
2016,Remember Me,2010,7.1,40,135459,71.0
2017,Never Let Me Go,2010,7.1,69,135405,71.0
2018,Winter's Bone,2010,7.2,90,133672,72.0
2019,It's Kind of a Funny Story,2010,7.1,63,132405,71.0
2020,Devil,2010,6.2,44,127666,62.0
2021,Green Zone,2010,6.8,63,127597,68.0
2022,She's Out of My League,2010,6.4,46,124708,64.0
2023,The Kids Are All Right,2010,7.0,86,124338,70.0
2024,Life as We Know It,2010,6.5,39,120345,65.0
2025,The Bounty Hunter,2010,5.6,22,119471,56.0
2026,Valentine's Day,2010,5.7,34,112189,57.0
2027,Let Me In,2010,7.1,79,111929,71.0
2028,From Paris with Love,2010,6.5,42,111015,65.0
2029,The Crazies,2010,6.5,56,109961,65.0
2030,The Way Back,2010,7.3,66,108114,73.0
2031,Ang-ma-reul bo-at-da,2010,7.8,67,105980,78.0
2032,Little Fockers,2010,5.5,27,104779,55.0
2033,The Wolfman,2010,5.8,43,101610,58.0
2034,Repo Men,2010,6.3,32,99518,63.0
2035,Faster,2010,6.4,44,98820,64.0
2036,Dinner for Schmucks,2010,5.9,56,98257,59.0
2037,Legion,2010,5.2,32,97728,52.0
2038,Paranormal Activity 2,2010,5.6,53,97172,56.0
2039,Wall Street: Money Never Sleeps,2010,6.2,59,96930,62.0
2040,My Name Is Khan,2010,8.0,50,96636,80.0
2041,The Switch,2010,6.1,52,95463,61.0
2042,Yip Man 2,2010,7.5,67,95462,75.0
2043,Leap Year,2010,6.5,33,92275,65.0
2044,A Nightmare on Elm Street,2010,5.2,35,90828,52.0
2045,Letters to Juliet,2010,6.5,50,90588,65.0
2046,The American,2010,6.3,61,90576,63.0
2047,The Losers,2010,6.3,44,89647,63.0
2048,Hereafter,2010,6.4,56,89540,64.0
2049,Saw 3D,2010,5.6,24,88652,56.0
2050,Edge of Darkness,2010,6.6,55,88582,66.0
2051,Beginners,2010,7.2,81,86743,72.0
2052,Monsters,2010,6.4,63,86737,64.0
2053,Eat Pray Love,2010,5.8,50,86146,58.0
2054,Killers,2010,5.5,21,85837,55.0
2055,Skyline,2010,4.4,26,85688,44.0
2056,Piranha 3D,2010,5.4,53,84925,54.0
2057,Biutiful,2010,7.5,58,84720,75.0
2058,Cop Out,2010,5.6,31,84568,56.0
2059,Submarine,2010,7.3,76,84089,73.0
2060,Flipped,2010,7.7,45,79771,77.0
2061,The Last Song,2010,6.0,33,79634,60.0
2062,Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,71,78148,80.0
2063,Kari-gurashi no Arietti,2010,7.6,80,77537,76.0
2064,Centurion,2010,6.4,62,76958,64.0
2065,Burlesque,2010,6.4,47,76812,64.0
2066,Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,53,76791,69.0
2067,I Spit on Your Grave,2010,6.3,27,74119,63.0
2068,Super,2010,6.7,50,73974,67.0
2069,Sex and the City 2,2010,4.5,27,72904,45.0
2070,Morning Glory,2010,6.5,57,71982,65.0
2071,Four Lions,2010,7.3,68,70433,73.0
2072,Inside Job,2010,8.2,88,68313,82.0
2073,Trolljegeren,2010,7.0,61,67497,70.0
2074,Frozen,2010,6.1,43,66304,61.0
2075,Gulliver's Travels,2010,4.9,33,64722,49.0
2076,The Debt,2010,6.8,65,63275,68.0
2077,Senna,2010,8.5,79,62277,85.0
2078,Exit Through the Gift Shop,2010,8.0,85,61514,80.0
2079,Jûsan-nin no shikaku,2010,7.6,84,60915,76.0
2080,When in Rome,2010,5.6,25,59451,56.0
2081,Charlie St. Cloud,2010,6.4,37,57774,64.0
2082,Takers,2010,6.2,45,56991,62.0
2083,Going the Distance,2010,6.3,51,56174,63.0
2084,Jackass 3D,2010,7.0,56,55937,70.0
2085,Step Up 3D,2010,6.2,45,55104,62.0
2086,Jonah Hex,2010,4.7,33,54606,47.0
2087,Animal Kingdom,2010,7.3,83,53956,73.0
2088,All Good Things,2010,6.3,57,51921,63.0
2089,Hesher,2010,7.0,45,50159,70.0
2090,You Again,2010,5.8,28,48722,58.0
2091,The Back-up Plan,2010,5.4,34,47795,54.0
2092,The Last Exorcism,2010,5.6,63,47413,56.0
2093,Everything Must Go,2010,6.4,65,47253,64.0
2094,Rabbit Hole,2010,7.0,76,46803,70.0
2095,Don't Be Afraid of the Dark,2010,5.6,56,46308,56.0
2096,Last Night,2010,6.6,50,46295,66.0
2097,Death at a Funeral,2010,5.7,51,46159,57.0
2098,Fair Game,2010,6.8,69,46103,68.0
2099,London Boulevard,2010,6.2,52,46075,62.0
2100,Vampires Suck,2010,3.4,18,45994,34.0
2101,The Runaways,2010,6.5,65,45710,65.0
2102,How Do You Know,2010,5.4,46,45516,54.0
2103,Black Death,2010,6.4,71,43469,64.0
2104,You Will Meet a Tall Dark Stranger,2010,6.3,51,43242,63.0
2105,The Company Men,2010,6.7,69,43036,67.0
2106,Somewhere,2010,6.3,67,42086,63.0
2107,MacGruber,2010,5.5,43,41881,55.0
2108,Diary of a Wimpy Kid,2010,6.2,56,41706,62.0
2109,Conviction,2010,7.2,61,41631,72.0
2110,Tooth Fairy,2010,5.0,36,41293,50.0
2111,Trust,2010,6.9,60,40744,69.0
2112,Catfish,2010,7.1,65,40416,71.0
2113,Stake Land,2010,6.5,66,40146,65.0
2114,Stone,2010,5.4,58,39978,54.0
2115,13,2010,6.1,29,39899,61.0
2116,The Ward,2010,5.6,38,39778,56.0
2117,The Spy Next Door,2010,5.4,27,39632,54.0
2118,Hævnen,2010,7.6,65,37989,76.0
2119,Greenberg,2010,6.1,76,35579,61.0
2120,Wild Target,2010,6.8,41,35135,68.0
2121,Rubber,2010,5.8,59,33501,58.0
2122,Cyrus,2010,6.3,74,33398,63.0
2123,L'illusionniste,2010,7.5,82,33129,75.0
2124,The Killer Inside Me,2010,6.1,53,32737,61.0
2125,6 Souls,2010,6.1,28,31922,61.0
2126,The Whistleblower,2010,7.1,59,31162,71.0
2127,"Tomorrow, When the War Began",2010,6.2,54,30043,62.0
2128,The Way,2010,7.4,64,29849,74.0
2129,Happythankyoumoreplease,2010,6.8,45,28921,68.0
2130,Another Year,2010,7.3,80,27459,73.0
2131,Nanny McPhee and the Big Bang,2010,6.1,52,27409,61.0
2132,The Conspirator,2010,6.9,55,27393,69.0
2133,Les amours imaginaires,2010,7.1,70,26715,71.0
2134,Secretariat,2010,7.2,61,26013,72.0
2135,Rare Exports,2010,6.7,71,25473,67.0
2136,The Warrior's Way,2010,6.3,45,25078,63.0
2137,L'arnacoeur,2010,6.7,59,24991,67.0
2138,Vanishing on 7th Street,2010,4.9,50,24688,49.0
2139,The Perfect Host,2010,6.8,48,24432,68.0
2140,Barney's Version,2010,7.3,67,23771,73.0
2141,Les petits mouchoirs,2010,7.1,50,23433,71.0
2142,Welcome to the Rileys,2010,7.0,50,23188,70.0
2143,Restrepo,2010,7.5,85,21752,75.0
2144,Boy,2010,7.5,70,21000,75.0
2145,I'm Still Here,2010,6.2,48,20527,62.0
2146,Copie conforme,2010,7.3,82,20467,73.0
2147,Tamara Drewe,2010,6.2,64,20282,62.0
2148,Yogi Bear,2010,4.6,35,20016,46.0
2149,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85,742839,81.0
2150,The Intouchables,2011,8.5,57,736226,85.0
2151,Thor,2011,7.0,57,730664,70.0
2152,Captain America: The First Avenger,2011,6.9,66,723085,69.0
2153,X: First Class,2011,7.7,65,636703,77.0
2154,Drive,2011,7.8,78,558379,78.0
2155,Limitless,2011,7.4,59,518860,74.0
2156,Rise of the Planet of the Apes,2011,7.6,68,490365,76.0
2157,Source Code,2011,7.5,74,476536,75.0
2158,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,472231,66.0
2159,"Crazy, Stupid, Love.",2011,7.4,68,462620,74.0
2160,The Hangover Part II,2011,6.4,44,456163,64.0
2161,Mission: Impossible - Ghost Protocol,2011,7.4,73,449624,74.0
2162,Warrior,2011,8.2,71,427376,82.0
2163,The Help,2011,8.0,62,419358,80.0
2164,Horrible Bosses,2011,6.9,57,415876,69.0
2165,Sherlock Holmes: A Game of Shadows,2011,7.5,48,413640,75.0
2166,The Girl with the Dragon Tattoo,2011,7.8,71,411526,78.0
2167,Midnight in Paris,2011,7.7,81,379895,77.0
2168,Transformers: Dark of the Moon,2011,6.2,42,379895,62.0
2169,The Cabin in the Woods,2011,7.0,72,366512,70.0
2170,In Time,2011,6.7,53,363491,67.0
2171,Moneyball,2011,7.6,87,354219,76.0
2172,Fast Five,2011,7.3,66,347123,73.0
2173,Super 8,2011,7.0,72,334294,70.0
2174,Friends with Benefits,2011,6.5,63,334034,65.0
2175,50/50,2011,7.6,72,311891,76.0
2176,Hugo,2011,7.5,83,299537,75.0
2177,Real Steel,2011,7.1,56,293107,71.0
2178,Contagion,2011,6.7,70,274028,67.0
2179,Green Lantern,2011,5.5,39,263210,55.0
2180,Bridesmaids,2011,6.8,75,262927,68.0
2181,Kung Fu Panda 2,2011,7.2,67,246970,72.0
2182,Unknown,2011,6.8,56,244729,68.0
2183,The Adjustment Bureau,2011,7.0,60,240126,70.0
2184,The Grey,2011,6.8,64,237492,68.0
2185,Paul,2011,7.0,57,231512,70.0
2186,Rango,2011,7.2,75,231060,72.0
2187,The Descendants,2011,7.3,84,230024,73.0
2188,The Artist,2011,7.9,89,227239,79.0
2189,Sucker Punch,2011,6.0,33,227171,60.0
2190,I Am Number Four,2011,6.1,36,225049,61.0
2191,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,219263,49.0
2192,Just Go with It,2011,6.4,33,217024,64.0
2193,Jodaeiye Nader az Simin,2011,8.3,95,214015,83.0
2194,The Adventures of Tintin,2011,7.3,68,213134,73.0
2195,The Ides of March,2011,7.1,67,212523,71.0
2196,The Lincoln Lawyer,2011,7.3,63,209621,73.0
2197,No Strings Attached,2011,6.2,50,209532,62.0
2198,Cowboys & Aliens,2011,6.0,50,204749,60.0
2199,Rio,2011,6.9,63,202369,69.0
2200,Bad Teacher,2011,5.6,47,189755,56.0
2201,Hanna,2011,6.8,65,188023,68.0
2202,Serbuan maut,2011,7.6,73,187113,76.0
2203,Tinker Tailor Soldier Spy,2011,7.0,85,183592,70.0
2204,Shame,2011,7.2,72,179981,72.0
2205,Battle Los Angeles,2011,5.7,37,172557,57.0
2206,The Tree of Life,2011,6.8,85,165323,68.0
2207,Melancholia,2011,7.2,80,164378,72.0
2208,The Change-Up,2011,6.3,39,163921,63.0
2209,Immortals,2011,6.0,46,158755,60.0
2210,Cars 2,2011,6.1,57,154929,61.0
2211,The Green Hornet,2011,5.8,39,153713,58.0
2212,The Mechanic,2011,6.6,49,148410,66.0
2213,War Horse,2011,7.2,72,144265,72.0
2214,Puss in Boots,2011,6.6,65,141458,66.0
2215,One Day,2011,7.0,48,135623,70.0
2216,La piel que habito,2011,7.6,70,135007,76.0
2217,We Need to Talk About Kevin,2011,7.5,68,134286,75.0
2218,We Bought a Zoo,2011,7.1,58,132623,71.0
2219,Tower Heist,2011,6.2,59,131254,62.0
2220,Scream 4,2011,6.1,52,125025,61.0
2221,Killer Elite,2011,6.4,44,122242,64.0
2222,J. Edgar,2011,6.5,59,120796,65.0
2223,The Thing,2011,6.2,49,119336,62.0
2224,Hall Pass,2011,5.8,45,118526,58.0
2225,Johnny English Reborn,2011,6.3,46,117822,63.0
2226,Carnage,2011,7.2,61,117403,72.0
2227,Margin Call,2011,7.1,76,114168,71.0
2228,Priest,2011,5.7,41,113362,57.0
2229,Water for Elephants,2011,6.9,52,109676,69.0
2230,Ghost Rider: Spirit of Vengeance,2011,4.3,34,109068,43.0
2231,Red Riding Hood,2011,5.5,29,106833,55.0
2232,Final Destination 5,2011,5.8,50,104570,58.0
2233,The Three Musketeers,2011,5.7,35,101815,57.0
2234,The Iron Lady,2011,6.4,54,101226,64.0
2235,Attack the Block,2011,6.6,75,98177,66.0
2236,Fright Night,2011,6.3,64,98134,63.0
2237,The Rum Diary,2011,6.2,56,97810,62.0
2238,A Dangerous Method,2011,6.4,76,97355,64.0
2239,Extremely Loud & Incredibly Close,2011,6.9,46,96605,69.0
2240,Your Highness,2011,5.5,31,95791,55.0
2241,Hodejegerne,2011,7.5,72,95204,75.0
2242,Conan the Barbarian,2011,5.2,36,94153,52.0
2243,Drive Angry,2011,5.4,44,93293,54.0
2244,Colombiana,2011,6.4,45,92403,64.0
2245,30 Minutes or Less,2011,6.1,49,92358,61.0
2246,Another Earth,2011,7.0,66,89659,70.0
2247,The Rite,2011,6.0,38,89596,60.0
2248,Season of the Witch,2011,5.4,28,89355,54.0
2249,Take Shelter,2011,7.4,85,89312,74.0
2250,Paranormal Activity 3,2011,5.8,59,88968,58.0
2251,The Best Exotic Marigold Hotel,2011,7.2,62,88875,72.0
2252,The Muppets,2011,7.1,75,86055,71.0
2253,Mr. Popper's Penguins,2011,6.0,53,86048,60.0
2254,You're Next,2011,6.6,66,85664,66.0
2255,Our Idiot Brother,2011,6.4,60,82953,64.0
2256,Goon,2011,6.8,64,82946,68.0
2257,My Week with Marilyn,2011,6.9,65,82381,69.0
2258,Haywire,2011,5.8,67,82281,58.0
2259,The Smurfs,2011,5.4,30,82011,54.0
2260,New Year's Eve,2011,5.7,22,80218,57.0
2261,Jane Eyre,2011,7.3,76,79792,73.0
2262,The Guard,2011,7.3,78,79160,73.0
2263,Young Adult,2011,6.2,71,79067,62.0
2264,The Inbetweeners Movie,2011,6.7,44,77057,67.0
2265,Jack and Jill,2011,3.3,23,76555,33.0
2266,Abduction,2011,5.1,25,75441,51.0
2267,Justin Bieber: Never Say Never,2011,1.6,52,75063,16.0
2268,Detachment,2011,7.7,52,74811,77.0
2269,Beastly,2011,5.6,40,74790,56.0
2270,Killer Joe,2011,6.7,62,71549,67.0
2271,What's Your Number?,2011,6.1,35,71393,61.0
2272,The Sitter,2011,5.7,39,67484,57.0
2273,God Bless America,2011,7.2,56,67428,72.0
2274,A Very Harold & Kumar 3D Christmas,2011,6.3,61,64571,63.0
2275,The Eagle,2011,6.2,55,64369,62.0
2276,Dream House,2011,6.0,35,62605,60.0
2277,The Awakening,2011,6.5,53,62412,65.0
2278,Larry Crowne,2011,6.1,41,62409,61.0
2279,Machine Gun Preacher,2011,6.8,43,62199,68.0
2280,"Jeff, Who Lives at Home",2011,6.5,60,61374,65.0
2281,Red State,2011,6.2,50,61365,62.0
2282,Salmon Fishing in the Yemen,2011,6.8,58,61267,68.0
2283,The Devil's Double,2011,7.1,52,59699,71.0
2284,Like Crazy,2011,6.7,68,58454,67.0
2285,The Darkest Hour,2011,4.9,18,57170,49.0
2286,Something Borrowed,2011,5.9,36,56795,59.0
2287,Bernie,2011,6.8,75,56249,68.0
2288,Zookeeper,2011,5.2,30,56040,52.0
2289,The Art of Getting By,2011,6.6,36,55770,66.0
2290,Perfect Sense,2011,7.1,55,54991,71.0
2291,Apollo 18,2011,5.2,24,53233,52.0
2292,Sanctum,2011,5.9,42,52949,59.0
2293,Win Win,2011,7.1,75,52408,71.0
2294,Gnomeo & Juliet,2011,5.9,53,51570,59.0
2295,Grave Encounters,2011,6.1,33,51356,61.0
2296,The Dilemma,2011,5.3,46,51293,53.0
2297,Take Me Home Tonight,2011,6.3,42,50714,63.0
2298,Arthur,2011,5.7,36,50327,57.0
2299,Arthur Christmas,2011,7.1,69,49036,71.0
2300,Jin ling shi san chai,2011,7.6,46,48683,76.0
2301,Don 2,2011,7.1,49,48587,71.0
2302,Martha Marcy May Marlene,2011,6.9,75,47896,69.0
2303,The Beaver,2011,6.6,60,46797,66.0
2304,Footloose,2011,5.9,58,45644,59.0
2305,Soul Surfer,2011,7.0,53,44782,70.0
2306,Kill the Irishman,2011,7.1,50,44769,71.0
2307,Seeking Justice,2011,6.2,38,44185,62.0
2308,Hobo with a Shotgun,2011,6.1,55,43528,61.0
2309,The Big Year,2011,6.2,53,41396,62.0
2310,Trespass,2011,5.3,37,41145,53.0
2311,Happy Feet Two,2011,5.9,50,40886,59.0
2312,Friends with Kids,2011,6.1,55,40644,61.0
2313,Monte Carlo,2011,5.8,43,40538,58.0
2314,Bir Zamanlar Anadolu'da,2011,7.9,82,39896,79.0
2315,Ironclad,2011,6.1,42,39803,61.0
2316,Anonymous,2011,6.9,50,38925,69.0
2317,Mientras duermes,2011,7.2,70,37712,72.0
2318,Ra.One,2011,4.7,60,37503,47.0
2319,The Hunter,2011,6.7,63,36241,67.0
2320,The Roommate,2011,4.8,23,36068,48.0
2321,Cedar Rapids,2011,6.2,70,35761,62.0
2322,Kill List,2011,6.4,67,35562,64.0
2323,The Human Centipede II (Full Sequence),2011,3.8,17,34962,38.0
2324,The Divide,2011,5.8,28,34920,58.0
2325,In the Land of Blood and Honey,2011,4.5,56,33211,45.0
2326,Kokuriko-zaka kara,2011,7.4,71,32970,74.0
2327,Jiro Dreams of Sushi,2011,7.9,77,32920,79.0
2328,The Innkeepers,2011,5.4,64,32532,54.0
2329,Samsara,2011,8.5,65,32443,85.0
2330,Straw Dogs,2011,5.8,45,32359,58.0
2331,This Must Be the Place,2011,6.7,61,32047,67.0
2332,Flypaper,2011,6.4,37,31385,64.0
2333,Hop,2011,5.4,41,30770,54.0
2334,Coriolanus,2011,6.1,79,30647,61.0
2335,Alvin and the Chipmunks: Chipwrecked,2011,4.3,24,30624,43.0
2336,Sleeping Beauty,2011,5.3,57,30575,53.0
2337,Hysteria,2011,6.7,53,30138,67.0
2338,Tyrannosaur,2011,7.6,65,29805,76.0
2339,The Double,2011,5.9,37,28268,59.0
2340,Weekend,2011,7.6,81,27487,76.0
2341,A Little Bit of Heaven,2011,6.3,14,27444,63.0
2342,Delhi Belly,2011,7.6,66,26891,76.0
2343,The Dark Knight Rises,2012,8.4,78,1479547,84.0
2344,Django Unchained,2012,8.4,81,1316863,84.0
2345,The Avengers,2012,8.0,69,1240760,80.0
2346,The Hunger Games,2012,7.2,68,830197,72.0
2347,The Hobbit: An Unexpected Journey,2012,7.8,58,745734,78.0
2348,Silver Linings Playbook,2012,7.7,81,650876,77.0
2349,Skyfall,2012,7.7,81,620004,77.0
2350,Life of Pi,2012,7.9,79,570036,79.0
2351,Argo,2012,7.7,86,562953,77.0
2352,Ted,2012,6.9,62,561952,69.0
2353,Prometheus,2012,7.0,64,560314,70.0
2354,The Amazing Spider-Man,2012,6.9,66,549850,69.0
2355,Looper,2012,7.4,84,525984,74.0
2356,21 Jump Street,2012,7.2,69,502012,72.0
2357,The Perks of Being a Wallflower,2012,8.0,67,451439,80.0
2358,Wreck-It Ralph,2012,7.7,72,371331,77.0
2359,Brave,2012,7.1,69,364121,71.0
2360,Cloud Atlas,2012,7.4,55,340181,74.0
2361,Men in Black 3,2012,6.8,58,329467,68.0
2362,Flight,2012,7.3,76,319752,73.0
2363,Moonrise Kingdom,2012,7.8,84,311489,78.0
2364,Les Misérables,2012,7.6,63,302524,76.0
2365,Jack Reacher,2012,7.0,50,301852,70.0
2366,The Expendables 2,2012,6.6,51,288280,66.0
2367,Taken 2,2012,6.3,45,285410,63.0
2368,The Bourne Legacy,2012,6.7,61,280565,67.0
2369,Pitch Perfect,2012,7.2,66,271541,72.0
2370,Snow White and the Huntsman,2012,6.1,57,269413,61.0
2371,Jagten,2012,8.3,77,269337,83.0
2372,The Dictator,2012,6.4,58,267852,64.0
2373,Zero Dark Thirty,2012,7.4,95,266324,74.0
2374,John Carter,2012,6.6,51,251744,66.0
2375,Dredd,2012,7.1,60,246173,71.0
2376,Dark Shadows,2012,6.2,55,242775,62.0
2377,The Place Beyond the Pines,2012,7.3,68,241044,73.0
2378,Lincoln,2012,7.3,86,240360,73.0
2379,Total Recall,2012,6.3,43,237222,63.0
2380,Chronicle,2012,7.0,69,237214,70.0
2381,Seven Psychopaths,2012,7.2,66,236679,72.0
2382,Battleship,2012,5.8,41,233364,58.0
2383,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,226438,55.0
2384,End of Watch,2012,7.6,68,224394,76.0
2385,Lawless,2012,7.3,58,224209,73.0
2386,Hotel Transylvania,2012,7.1,47,218451,71.0
2387,Sinister,2012,6.8,53,213621,68.0
2388,Safe House,2012,6.7,52,202121,67.0
2389,American Reunion,2012,6.7,49,199983,67.0
2390,Lo imposible,2012,7.6,73,192127,76.0
2391,Ice Age: Continental Drift,2012,6.6,49,187469,66.0
2392,Project X,2012,6.6,48,186074,66.0
2393,The Vow,2012,6.8,43,181331,68.0
2394,Wrath of the Titans,2012,5.7,37,179308,57.0
2395,This Means War,2012,6.3,31,173738,63.0
2396,The Woman in Black,2012,6.4,62,171895,64.0
2397,Mud,2012,7.4,76,164689,74.0
2398,Madagascar 3: Europe's Most Wanted,2012,6.8,60,158921,68.0
2399,Rise of the Guardians,2012,7.3,58,153384,73.0
2400,The Master,2012,7.2,86,150133,72.0
2401,Abraham Lincoln: Vampire Hunter,2012,5.9,42,147469,59.0
2402,Underworld Awakening,2012,6.4,39,143991,64.0
2403,Man on a Ledge,2012,6.6,40,143264,66.0
2404,Spring Breakers,2012,5.3,63,133886,53.0
2405,Killing Them Softly,2012,6.2,64,131190,62.0
2406,Resident Evil: Retribution,2012,5.4,39,130815,54.0
2407,Magic Mike,2012,6.1,72,129292,61.0
2408,This Is 40,2012,6.2,59,124987,62.0
2409,The Campaign,2012,6.1,50,123071,61.0
2410,Savages,2012,6.5,59,120159,65.0
2411,The Watch,2012,5.7,36,119793,57.0
2412,Safety Not Guaranteed,2012,7.0,72,116773,70.0
2413,Contraband,2012,6.5,51,115301,65.0
2414,Premium Rush,2012,6.5,66,108855,65.0
2415,Seeking a Friend for the End of the World,2012,6.7,59,106258,67.0
2416,Get the Gringo,2012,7.0,60,102039,70.0
2417,Safe,2012,6.5,55,101509,65.0
2418,The Lucky One,2012,6.5,39,99587,65.0
2419,The Lorax,2012,6.4,46,96475,64.0
2420,Frankenweenie,2012,6.9,74,95417,69.0
2421,Ruby Sparks,2012,7.2,67,94392,72.0
2422,Lockout,2012,6.1,48,93419,61.0
2423,ParaNorman,2012,7.0,72,91921,70.0
2424,The Five-Year Engagement,2012,6.2,62,91612,62.0
2425,Amour,2012,7.9,94,91153,79.0
2426,Journey 2: The Mysterious Island,2012,5.8,41,90856,58.0
2427,Anna Karenina,2012,6.6,63,89846,66.0
2428,That's My Boy,2012,5.5,31,89099,55.0
2429,Here Comes the Boom,2012,6.4,40,84735,64.0
2430,To Rome with Love,2012,6.3,54,83156,63.0
2431,Mirror Mirror,2012,5.6,46,82832,56.0
2432,Stuck in Love.,2012,7.2,49,82406,72.0
2433,The Raven,2012,6.4,44,81595,64.0
2434,Beasts of the Southern Wild,2012,7.3,86,79800,73.0
2435,Gangs of Wasseypur,2012,8.2,89,78380,82.0
2436,The Words,2012,7.0,37,73593,70.0
2437,Rock of Ages,2012,5.9,47,72786,59.0
2438,Red Dawn,2012,5.4,31,72593,54.0
2439,Disconnect,2012,7.5,64,72305,75.0
2440,Wanderlust,2012,5.6,53,71484,56.0
2441,Frances Ha,2012,7.5,82,71156,75.0
2442,Hitchcock,2012,6.8,55,71019,68.0
2443,House at the End of the Street,2012,5.6,31,70618,56.0
2444,The Iceman,2012,6.8,60,69172,68.0
2445,What to Expect When You're Expecting,2012,5.7,41,68818,57.0
2446,Upside Down,2012,6.4,45,68640,64.0
2447,Act of Valor,2012,6.5,40,65771,65.0
2448,The First Time,2012,6.8,55,65383,68.0
2449,Searching for Sugar Man,2012,8.2,79,62649,82.0
2450,De rouille et d'os,2012,7.5,73,62520,75.0
2451,Robot & Frank,2012,7.1,67,61227,71.0
2452,Paranormal Activity 4,2012,4.6,40,61169,46.0
2453,The Man with the Iron Fists,2012,5.4,51,59918,54.0
2454,Silent Hill: Revelation,2012,5.0,16,59518,50.0
2455,Trouble with the Curve,2012,6.8,58,59137,68.0
2456,Red Lights,2012,6.2,36,57804,62.0
2457,The Possession,2012,5.9,45,56095,59.0
2458,V/H/S,2012,5.8,55,55987,58.0
2459,Step Up Revolution,2012,6.4,43,53146,64.0
2460,Stand Up Guys,2012,6.5,41,52462,65.0
2461,Arbitrage,2012,6.6,73,49103,66.0
2462,Bullet to the Head,2012,5.7,48,46836,57.0
2463,Kon-Tiki,2012,7.2,62,44929,72.0
2464,Bachelorette,2012,5.3,53,44729,53.0
2465,The Collection,2012,6.1,38,44715,61.0
2466,The Imposter,2012,7.5,77,44487,75.0
2467,The Odd Life of Timothy Green,2012,6.6,47,44447,66.0
2468,The Pirates! In an Adventure with Scientists!,2012,6.7,73,44100,67.0
2469,Cosmopolis,2012,5.1,58,43918,51.0
2470,En kongelig affære,2012,7.5,73,43286,75.0
2471,Think Like a Man,2012,6.6,51,43213,66.0
2472,Stolen,2012,5.5,43,42703,55.0
2473,Gone,2012,5.9,36,41558,59.0
2474,People Like Us,2012,7.1,49,41023,71.0
2475,The Sessions,2012,7.2,79,40900,72.0
2476,Holy Motors,2012,7.1,84,40563,71.0
2477,Byzantium,2012,6.5,66,40424,65.0
2478,One for the Money,2012,5.3,22,40268,53.0
2479,Hope Springs,2012,6.3,65,40114,63.0
2480,A Thousand Words,2012,5.9,26,39620,59.0
2481,On the Road,2012,6.1,56,39365,61.0
2482,Piranha 3DD,2012,3.7,24,39324,37.0
2483,The Broken Circle Breakdown,2012,7.8,70,38616,78.0
2484,Talaash,2012,7.2,65,38553,72.0
2485,The Tall Man,2012,5.9,52,38409,59.0
2486,Deadfall,2012,6.3,52,37625,63.0
2487,Ookami kodomo no Ame to Yuki,2012,8.1,71,37127,81.0
2488,Would You Rather,2012,5.7,20,36168,57.0
2489,Promised Land,2012,6.6,55,35982,66.0
2490,John Dies at the End,2012,6.4,53,35755,64.0
2491,Liberal Arts,2012,6.7,55,35543,67.0
2492,The Paperboy,2012,5.8,45,35265,58.0
2493,The Guilt Trip,2012,5.7,50,35004,57.0
2494,The Cold Light of Day,2012,4.9,22,34890,49.0
2495,Maniac,2012,6.1,47,34548,61.0
2496,The Devil Inside,2012,4.2,18,34541,42.0
2497,The Act of Killing,2012,8.2,91,34333,82.0
2498,Hit and Run,2012,6.1,50,34130,61.0
2499,Red Tails,2012,5.9,46,33025,59.0
2500,[Rec]³: Génesis,2012,5.0,45,32677,50.0
2501,Alex Cross,2012,5.1,30,31943,51.0
2502,The Company You Keep,2012,6.4,57,31117,64.0
2503,Compliance,2012,6.4,68,30658,64.0
2504,Chasing Mavericks,2012,7.2,45,30352,72.0
2505,The Three Stooges,2012,5.1,56,29597,51.0
2506,Dans la maison,2012,7.4,72,29121,74.0
2507,Erased,2012,6.1,34,28913,61.0
2508,Celeste & Jesse Forever,2012,6.6,59,28579,66.0
2509,Playing for Keeps,2012,5.7,27,28361,57.0
2510,The Lords of Salem,2012,5.1,57,26976,51.0
2511,To the Wonder,2012,5.9,58,26794,59.0
